,path,positive_labels
0,content/train/bisping-00045-part24.wav,content
1,content/train/bisping-00080-part50.wav,content
2,content/train/bisping-00012-part90.wav,content
3,content/train/bisping-00062-part60.wav,content
4,content/train/bisping-00011-part39.wav,content
5,content/train/bisping-00017-part47.wav,content
6,content/train/bisping-00007-part33.wav,content
7,content/train/bisping-00015-part34.wav,content
8,content/train/bisping-00069-part32.wav,content
9,content/train/bisping-00062-part54.wav,content
10,content/train/bisping-00017-part83.wav,content
11,content/train/bisping-00033-part46.wav,content
12,content/train/bisping-00086-part78.wav,content
13,content/train/bisping-00011-part143.wav,content
14,content/train/bisping-00051-part4.wav,content
15,content/train/bisping-00059-part13.wav,content
16,content/train/bisping-00038-part86.wav,content
17,content/train/bisping-00022-part26.wav,content
18,content/train/bisping-00077-part27.wav,content
19,content/train/bisping-00036-part13.wav,content
20,content/train/bisping-00090-part23.wav,content
21,content/train/bisping-00021-part93.wav,content
22,content/train/bisping-00052-part16.wav,content
23,content/train/bisping-00037-part20.wav,content
24,content/train/bisping-00065-part57.wav,content
25,content/train/bisping-00003-part102.wav,content
26,content/train/bisping-00086-part113.wav,content
27,content/train/bisping-00064-part33.wav,content
28,content/train/bisping-00052-part47.wav,content
29,content/train/bisping-00017-part86.wav,content
30,content/train/bisping-00020-part98.wav,content
31,content/train/bisping-00061-part52.wav,content
32,content/train/bisping-00086-part74.wav,content
33,content/train/bisping-00077-part39.wav,content
34,content/train/bisping-00019-part51.wav,content
35,content/train/bisping-00019-part38.wav,content
36,content/train/bisping-00040-part84.wav,content
37,content/train/bisping-00052-part2.wav,content
38,content/train/bisping-00007-part41.wav,content
39,content/train/bisping-00036-part90.wav,content
40,content/train/bisping-00055-part20.wav,content
41,content/train/bisping-00057-part61.wav,content
42,content/train/bisping-00011-part99.wav,content
43,content/train/bisping-00067-part52.wav,content
44,content/train/bisping-00090-part5.wav,content
45,content/train/bisping-00018-part61.wav,content
46,content/train/bisping-00063-part78.wav,content
47,content/train/bisping-00017-part71.wav,content
48,content/train/bisping-00059-part4.wav,content
49,content/train/bisping-00028-part10.wav,content
50,content/train/bisping-00001-part66.wav,content
51,content/train/bisping-00079-part34.wav,content
52,content/train/bisping-00018-part6.wav,content
53,content/train/bisping-00052-part38.wav,content
54,content/train/bisping-00074-part17.wav,content
55,content/train/bisping-00075-part72.wav,content
56,content/train/bisping-00005-part2.wav,content
57,content/train/bisping-00080-part8.wav,content
58,content/train/bisping-00047-part65.wav,content
59,content/train/bisping-00090-part12.wav,content
60,content/train/bisping-00057-part69.wav,content
61,content/train/bisping-00006-part38.wav,content
62,content/train/bisping-00002-part58.wav,content
63,content/train/bisping-00049-part40.wav,content
64,content/train/bisping-00035-part13.wav,content
65,content/train/bisping-00011-part116.wav,content
66,content/train/bisping-00076-part10.wav,content
67,content/train/bisping-00036-part82.wav,content
68,content/train/bisping-00012-part24.wav,content
69,content/train/bisping-00017-part80.wav,content
70,content/train/bisping-00021-part3.wav,content
71,content/train/bisping-00018-part65.wav,content
72,content/train/bisping-00009-part42.wav,content
73,content/train/bisping-00032-part2.wav,content
74,content/train/bisping-00044-part19.wav,content
75,content/train/bisping-00079-part43.wav,content
76,content/train/bisping-00043-part28.wav,content
77,content/train/bisping-00065-part80.wav,content
78,content/train/bisping-00078-part38.wav,content
79,content/train/bisping-00048-part47.wav,content
80,content/train/bisping-00087-part38.wav,content
81,content/train/bisping-00058-part31.wav,content
82,content/train/bisping-00042-part43.wav,content
83,content/train/bisping-00051-part2.wav,content
84,content/train/bisping-00068-part34.wav,content
85,content/train/bisping-00075-part7.wav,content
86,content/train/bisping-00035-part21.wav,content
87,content/train/bisping-00063-part32.wav,content
88,content/train/bisping-00039-part9.wav,content
89,content/train/bisping-00040-part52.wav,content
90,content/train/bisping-00046-part42.wav,content
91,content/train/bisping-00049-part88.wav,content
92,content/train/bisping-00079-part16.wav,content
93,content/train/bisping-00049-part84.wav,content
94,content/train/bisping-00012-part94.wav,content
95,content/train/bisping-00070-part16.wav,content
96,content/train/bisping-00043-part52.wav,content
97,content/train/bisping-00047-part42.wav,content
98,content/train/bisping-00070-part43.wav,content
99,content/train/bisping-00040-part46.wav,content
100,content/train/bisping-00019-part24.wav,content
101,content/train/bisping-00047-part78.wav,content
102,content/train/bisping-00066-part89.wav,content
103,content/train/bisping-00066-part78.wav,content
104,content/train/bisping-00018-part28.wav,content
105,content/train/bisping-00011-part94.wav,content
106,content/train/bisping-00016-part20.wav,content
107,content/train/bisping-00049-part32.wav,content
108,content/train/bisping-00037-part9.wav,content
109,content/train/bisping-00083-part41.wav,content
110,content/train/bisping-00014-part36.wav,content
111,content/train/bisping-00068-part112.wav,content
112,content/train/bisping-00086-part146.wav,content
113,content/train/bisping-00016-part23.wav,content
114,content/train/bisping-00003-part89.wav,content
115,content/train/bisping-00043-part29.wav,content
116,content/train/bisping-00067-part50.wav,content
117,content/train/bisping-00089-part3.wav,content
118,content/train/bisping-00047-part23.wav,content
119,content/train/bisping-00058-part20.wav,content
120,content/train/bisping-00020-part95.wav,content
121,content/train/bisping-00008-part38.wav,content
122,content/train/bisping-00086-part12.wav,content
123,content/train/bisping-00036-part58.wav,content
124,content/train/bisping-00002-part51.wav,content
125,content/train/bisping-00037-part34.wav,content
126,content/train/bisping-00076-part30.wav,content
127,content/train/bisping-00027-part18.wav,content
128,content/train/bisping-00045-part39.wav,content
129,content/train/bisping-00083-part13.wav,content
130,content/train/bisping-00038-part41.wav,content
131,content/train/bisping-00008-part82.wav,content
132,content/train/bisping-00011-part140.wav,content
133,content/train/bisping-00012-part42.wav,content
134,content/train/bisping-00020-part28.wav,content
135,content/train/bisping-00008-part13.wav,content
136,content/train/bisping-00054-part28.wav,content
137,content/train/bisping-00053-part17.wav,content
138,content/train/bisping-00021-part47.wav,content
139,content/train/bisping-00048-part22.wav,content
140,content/train/bisping-00007-part59.wav,content
141,content/train/bisping-00066-part61.wav,content
142,content/train/bisping-00001-part39.wav,content
143,content/train/bisping-00016-part19.wav,content
144,content/train/bisping-00083-part33.wav,content
145,content/train/bisping-00064-part96.wav,content
146,content/train/bisping-00067-part126.wav,content
147,content/train/bisping-00001-part34.wav,content
148,content/train/bisping-00066-part52.wav,content
